train_losses,train_scores,train_noises
5964.6109530937865,0.504,-100.0
2413.6200651326935,0.838125,-10.0
-152.67709210422248,0.994375,-1.0
-208.9235344367404,0.994375,-0.1
-209.5720424988801,0.994375,-0.01
-209.55045739141264,0.994375,-0.001
-209.5517231573515,0.994375,-0.0001
-209.55187246028288,0.994375,0.0
-209.55189925327204,0.994375,0.0001
-209.54982883779843,0.994375,0.001
-209.54266058966337,0.994375,0.01
-208.67779604517006,0.994375,0.1
-153.67167474024336,0.994375,1.0
2397.5342851643013,0.835625,10.0
5946.491530090707,0.504,100.0
